																	
																	
																	
id	title	genere	rating	status	chapters	author	 starting year	image									
1	Nano Machine	murim	9	Ongoing	320+	Han Joong-Wol-Ya	2020										
2	Legend of the Northern Blade	murim	9	Completed	210	Hwang Seong-gu	2019										
3	Return of the Mount Hua Sect	murim	9	Ongoing	177+	Biga	2021										
4	Murim Login	murim	9	Ongoing	233+	Zerobic	2021										
5	The Breaker	murim	8	Completed	72	Jeon Geuk-jin	2007										
6	The Breaker: New Waves	murim	8	Completed	200	Jeon Geuk-jin	2010										
7	Volcanic Age	murim	8	Completed	220	Jeonggyeong	2017										
8	Chronicles of the Heavenly Demon	murim	8	Completed	200+	Il-Hwang	2019										
9	Infinite Leveling: Murim	murim	8	Ongoing	245+	Gonbung	2022										
10	Gosu	murim	8	Completed	233	Ryu Ki-woon	2015										
11	Peerless Dad	murim	8	Completed	296	Meohyeon	2017										
12	Memoir of the King of War	murim	8	Completed	216+	Hwang Seong-gu	2020										
13	Wandering Warrior of Wudang	murim	8	Ongoing	170+	Yu Ryeo-han	2022										
14	The Undefeatable Swordsman	murim	7	Completed	180+	Haerang	2020										
15	Doctor's Rebirth	murim	7	Ongoing	180+	Haerang	2021										
16	Absolute Sword Sense	murim	8	Ongoing	150+	Ttari	2022										
17	Heavenly Demon Reborn!	murim	8	Completed	150+	JP	2021										
18	"Star Instructor, Master Baek"	murim	8	Ongoing	130+	Ttari	2021										
19	Reincarnation of the Fist King	murim	7	Ongoing	80+	Gyeongtaek	2023										
20	The Grand Duke of Cheonhwa	murim	7	Ongoing	80+	Kim Hyun-pyo	2022										
